Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2020,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,623.34,623.34,0,51686.7,82.92,590.34,30512726.48
2020,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,7910000,Nopal forrajero,936.59,936.59,0,31780.99,33.93,334.03,10615804.09
2020,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,15050000,Pastos y praderas,3028.53,3028.53,0,25115.37,8.29,448.06,11253192.68
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,4.11,4.11,0,68.36,16.63,3370.74,230423.79
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5110000,Albahaca,11.2,11.2,0,130.57,11.66,22597.96,2950615.64
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5130000,Alcachofa,39.22,39.22,0,484.53,12.35,15200,7364856
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5220000,Alhelí,2.24,2.24,0,6.2,2.77,9350,57970
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,386.05,386.05,0,15087.64,39.08,10307.95,155522638.7
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5380000,Semilla de apio,22.41,22.41,0,28.79,1.28,41000,1180390
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,129.03,129.03,0,2154.07,16.69,8183.13,17627034.84
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5680000,Semilla de brócoli,2.24,2.24,0,1.2,0.54,86400,103680
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,80.29,80.29,0,2061.76,25.68,505.64,1042508.33
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,646.4,638.65,7.75,4582.94,7.18,12621.28,57842568.96
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,1134.9,1125.9,9,18495.95,16.43,12002.41,221995975.2
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6200000,Semilla de cilantro,89.04,89.04,0,101.22,1.14,27225.25,2755739.81
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),250.9,248.9,2,6664.57,26.78,5133.39,34211836.99
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,831.72,831.72,0,14033.18,16.87,15602.17,218948060
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6600000,Ejote,49.85,49.85,0,348.87,7,10597.39,3697111.45
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6620000,Eneldo,87.4,87.4,0,656.53,7.51,12300,8075319
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,619.27,619.27,0,10895.45,17.59,7302.7,79566202.72
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7110000,Haba verde,13.45,13.45,0,85.05,6.32,6386.21,543147.16
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7270000,Kale,151.29,148.29,3,3022.36,20.38,10089.23,30493285.18
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7700000,Menta,14.6,14.6,0,191.3,13.1,22000,4208600
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7780000,Nabo,16.81,16.81,0,240.05,14.28,5000,1200250
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7840000,Napa,12.39,11.39,1,245.37,21.54,8531.17,2093293.18
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8240000,Perejil,212.05,212.05,0,4145.91,19.55,13930.46,57754433.42
2020,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8440000,Poro (leek),168.39,168.39,0,3000.87,17.82,7487.96,22470394.53
