Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8990000,Tomillo,1.34,1.34,0.00,7.23,5.40,17888.53,129334.08
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,9170000,Verdolaga,34.73,34.73,0.00,461.87,13.30,3790.81,1750860.31
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,9250000,Semilla de pastos y praderas,484.17,484.17,0.00,114.62,0.24,87746.00,10057446.52
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,15050000,Pastos y praderas,2.40,2.40,0.00,44.14,18.39,854.31,37709.04
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,3644.50,3521.89,123.04,8643.18,2.45,5274.98,45592626.75
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5130000,Alcachofa,5.30,5.30,0.00,98.83,18.65,10199.59,1008025.93
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5180000,Algarrobo,21.00,10.91,10.50,42.16,3.86,7896.86,332931.46
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5650000,Arándano,350.00,346.56,3.50,4814.48,13.89,156462.79,753286976.90
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,1.04,1.04,0.00,2.98,2.87,9575.10,28533.79
2021,2,Baja California,3,Perennes,1,Riego,200203,Gruesa,6240000,Clavel,83.17,83.17,0.00,410350.69,4933.88,70.11,28769629.60
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6490000,Dátil,1287.80,1275.40,12.50,9404.04,7.37,64459.08,606175799.60
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7150000,Higo,1.06,1.06,0.00,1.16,1.09,3500.96,4061.11
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7380000,Lima,6.24,6.24,0.00,84.72,13.58,5219.84,442225.19
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,8.32,8.32,0.00,36.68,4.41,9175.67,336563.70
2021,2,Baja California,3,Perennes,1,Riego,200206,Planta,8050000,Palma de ornato,13.89,13.89,0.00,5277.55,379.95,135.00,712470.12
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,8330000,Pistache,2.08,2.08,0.00,1.35,0.65,69177.87,93390.12
2021,2,Baja California,3,Perennes,1,Riego,200205,Manojo,8760000,Solidago (manojo),1.50,1.50,0.00,61452.00,40968.00,16.80,1032393.60
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,8890000,Tangelo,34.61,34.61,0.00,487.11,14.07,4046.71,1971194.48
2021,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1490.35,1490.35,0.00,47038.63,31.56,404.26,19015624.32
2021,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,5000000,Aceituna,1903.22,1903.22,0.00,3108.51,1.63,4917.86,15287216.71
2021,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,5180000,Algarrobo,68.68,68.68,0.00,269.77,3.93,8622.50,2326090.94
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,3.18,3.18,0.00,18.98,5.97,4998.92,94879.46
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5110000,Albahaca,120.67,120.67,0.00,1034.97,8.58,18606.92,19257605.77
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200203,Gruesa,5140000,Alcatraz,13.33,13.33,0.00,4120.18,309.09,303.33,1249787.87
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,3.10,3.10,0.00,67.80,21.87,8161.76,553367.16
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5760000,Calabaza,41.74,41.74,0.00,722.11,17.30,4648.82,3356956.95
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5790000,Camote,3.44,3.44,0.00,30.61,8.90,4161.76,127391.36
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6040000,Chay,2.35,2.35,0.00,18.88,8.03,12798.44,241634.51
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,459.06,459.06,0.00,3877.08,8.45,10306.07,39957465.21
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6170000,Chives,13.53,13.53,0.00,55.77,4.12,14858.22,828642.79
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,14.53,14.53,0.00,174.54,12.01,8371.79,1461211.41
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),122.06,122.06,0.00,2651.25,21.72,4700.74,12462843.37
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,405.04,405.04,0.00,9424.61,23.27,13013.65,122648612.10
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6600000,Ejote,90.64,90.64,0.00,702.18,7.75,12770.09,8966899.55
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6620000,Eneldo,2.12,2.12,0.00,3.39,1.60,16365.91,55480.44
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,6940000,Girasol,8.90,8.90,0.00,17.78,2.00,6220.81,110605.95
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,7240000,Jícama,127.63,127.63,0.00,2799.84,21.94,4329.89,12122993.22
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,7660000,Mejorana,19.98,19.98,0.00,58.09,2.91,18571.49,1078817.79
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,7700000,Menta,12.99,12.99,0.00,43.20,3.33,19849.74,857508.60
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,7840000,Napa,101.00,94.57,6.50,3658.12,38.68,6068.12,22197921.12
