Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2007,146,5,Arivechi,3,1,Alfalfa achicalada,40.0,40.0,0.0,480.0,12.0,1500.0,720000.0
2007,146,5,Arivechi,3,1,Uva,1.0,1.0,0.0,2.0,2.0,15000.0,30000.0
2007,146,52,Sahuaripa,1,1,Ajo,1.0,1.0,0.0,5.0,5.0,15000.0,75000.0
2007,146,52,Sahuaripa,1,1,Avena forrajera en verde,25.0,25.0,0.0,500.0,20.0,370.0,185000.0
2007,146,52,Sahuaripa,1,1,Cebada forrajera en verde,15.0,15.0,0.0,210.0,14.0,370.0,77700.0
2007,146,52,Sahuaripa,1,1,Pastos y praderas,4.0,4.0,0.0,96.0,24.0,400.0,38400.0
2007,146,52,Sahuaripa,1,2,Avena forrajera en verde,6.0,6.0,0.0,24.0,4.0,370.0,8880.0
2007,146,52,Sahuaripa,2,1,Cacahuate,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2007,146,52,Sahuaripa,2,1,Maíz grano,10.0,10.0,0.0,35.0,3.5,2500.0,87500.0
2007,146,52,Sahuaripa,2,1,Sorgo forrajero en verde,100.0,100.0,0.0,2000.0,20.0,370.0,740000.0
2007,146,52,Sahuaripa,2,2,Maíz grano,90.0,90.0,0.0,27.0,0.3,2800.0,75600.0
2007,146,52,Sahuaripa,2,2,Sorgo forrajero en verde,130.0,130.0,0.0,1300.0,10.0,370.0,481000.0
2007,146,52,Sahuaripa,3,1,Alfalfa achicalada,400.0,400.0,0.0,4800.0,12.0,1500.0,7200000.0
2007,146,52,Sahuaripa,3,1,Manzana,0.5,0.5,0.0,2.0,4.0,5000.0,10000.0
2007,146,52,Sahuaripa,3,1,Uva,1.0,1.0,0.0,2.0,2.0,15000.0,30000.0
2007,146,9,Bacanora,1,1,Avena forrajera en verde,10.0,10.0,0.0,190.0,19.0,370.0,70300.0
2007,146,9,Bacanora,1,1,Cebada forrajera en verde,5.0,5.0,0.0,65.0,13.0,370.0,24050.0
2007,146,9,Bacanora,1,1,Pastos y praderas,2.0,2.0,0.0,40.0,20.0,400.0,16000.0
2007,146,9,Bacanora,2,1,Cacahuate,1.0,1.0,0.0,1.0,1.0,10000.0,10000.0
2007,146,9,Bacanora,2,1,Maíz grano,7.0,7.0,0.0,28.0,4.0,2500.0,70000.0
2007,146,9,Bacanora,2,1,Sorgo forrajero en verde,30.0,30.0,0.0,600.0,20.0,370.0,222000.0
2007,146,9,Bacanora,2,2,Maíz grano,25.0,25.0,0.0,7.5,0.3,2800.0,21000.0
2007,146,9,Bacanora,2,2,Sorgo forrajero en verde,50.0,50.0,0.0,500.0,10.0,370.0,185000.0
2007,146,9,Bacanora,3,1,Alfalfa achicalada,40.0,40.0,0.0,520.0,13.0,1500.0,780000.0
2007,146,69,Yécora,2,2,Calabacita,10.0,10.0,0.0,60.0,6.0,3000.0,180000.0
2007,146,69,Yécora,2,2,Maíz grano,100.0,100.0,0.0,40.0,0.4,2800.0,112000.0
2007,146,69,Yécora,2,2,Sorgo forrajero en verde,130.0,130.0,0.0,1040.0,8.0,370.0,384800.0
2007,146,69,Yécora,2,2,Tomate rojo (jitomate),10.0,10.0,0.0,120.0,12.0,7000.0,840000.0
2007,146,69,Yécora,3,2,Cítricos,1.0,1.0,0.0,2.0,2.0,3000.0,6000.0
2007,146,69,Yécora,3,2,Durazno,15.0,15.0,0.0,30.0,2.0,5000.0,150000.0
2007,146,69,Yécora,3,2,Manzana,250.0,100.0,0.0,400.0,4.0,5000.0,2000000.0
2007,146,69,Yécora,3,2,Pera,1.0,1.0,0.0,3.0,3.0,5000.0,15000.0
2007,147,25,Empalme,1,1,Calabacita,443.0,425.0,18.0,7974.0,18.76,2000.0,15948000.0
2007,147,25,Empalme,1,1,Calabaza,64.0,64.0,0.0,1600.0,25.0,2000.0,3200000.0
2007,147,25,Empalme,1,1,Cártamo,184.0,80.0,104.0,120.0,1.5,3000.0,360000.0
2007,147,25,Empalme,1,1,Chile verde,68.4,68.4,0.0,1094.4,16.0,2930.56,3207200.0
2007,147,25,Empalme,1,1,Col de bruselas,36.0,36.0,0.0,288.0,8.0,4500.0,1296000.0
2007,147,25,Empalme,1,1,Frijol,314.0,314.0,0.0,376.8,1.2,7000.0,2637600.0
2007,147,25,Empalme,1,1,Garbanzo grano,215.0,215.0,0.0,322.5,1.5,8500.0,2741250.0
2007,147,25,Empalme,1,1,Maíz grano,88.0,88.0,0.0,440.0,5.0,2500.0,1100000.0
2007,147,25,Empalme,1,1,Melón,201.5,201.5,0.0,4927.5,24.45,2200.0,10840500.0
2007,147,25,Empalme,1,1,Papa,107.0,97.0,10.0,1940.0,20.0,4000.0,7760000.0
2007,147,25,Empalme,1,1,Sandía,949.0,949.0,0.0,23725.0,25.0,1200.0,28470000.0
2007,147,25,Empalme,1,1,Sorgo forrajero en verde,129.5,100.0,29.5,1400.0,14.0,600.0,840000.0
2007,147,25,Empalme,1,1,Tomate rojo (jitomate),251.0,251.0,0.0,5963.0,23.76,3848.9,22951000.0
2007,147,25,Empalme,1,1,Trigo grano,779.0,779.0,0.0,3575.95,4.59,1822.41,6516860.0
2007,147,25,Empalme,1,1,Pastos y praderas,116.0,116.0,0.0,1624.0,14.0,650.0,1055600.0
2007,147,25,Empalme,1,2,Maíz grano,4.0,0.0,4.0,0.0,0.0,0.0,0.0
2007,147,25,Empalme,1,2,Sorgo forrajero en verde,99.0,0.0,99.0,0.0,0.0,0.0,0.0
2007,147,25,Empalme,1,2,Pastos y praderas,12.0,0.0,12.0,0.0,0.0,0.0,0.0
2007,147,25,Empalme,2,1,Calabacita,340.0,280.0,60.0,6120.0,21.86,2000.0,12240000.0
2007,147,25,Empalme,2,1,Chile verde,147.5,101.5,46.0,995.0,9.8,2492.46,2480000.0
2007,147,25,Empalme,2,1,Frijol,38.0,38.0,0.0,45.6,1.2,7000.0,319200.0
2007,147,25,Empalme,2,1,Maíz grano,163.0,100.0,63.0,500.0,5.0,2400.0,1200000.0
2007,147,25,Empalme,2,1,Melón,428.0,428.0,0.0,12098.0,28.27,3000.0,36294000.0
2007,147,25,Empalme,2,1,Pepino,25.0,25.0,0.0,1500.0,60.0,2000.0,3000000.0
2007,147,25,Empalme,2,1,Sandía,363.0,363.0,0.0,11025.0,30.37,1200.0,13230000.0
2007,147,25,Empalme,2,1,Sorgo forrajero en verde,281.5,281.5,0.0,11000.0,39.08,800.0,8800000.0
2007,147,25,Empalme,2,1,Tomate rojo (jitomate),315.0,315.0,0.0,4848.0,15.39,4897.9,23745000.0
2007,147,25,Empalme,2,1,Tomate verde,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2007,147,25,Empalme,2,1,Pastos y praderas,35.5,35.5,0.0,1350.0,38.03,650.0,877500.0
2007,147,25,Empalme,2,2,Sorgo forrajero en verde,80.0,80.0,0.0,800.0,10.0,800.0,640000.0
2007,147,25,Empalme,3,1,Alfalfa achicalada,319.0,319.0,0.0,3190.0,10.0,1200.0,3828000.0
2007,147,25,Empalme,3,1,Naranja,100.0,100.0,0.0,1200.0,12.0,1200.0,1440000.0
2007,147,25,Empalme,3,1,Nopalitos,19.5,19.5,0.0,234.0,12.0,1800.0,421200.0
2007,147,25,Empalme,3,1,Pastos y praderas,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,147,29,Guaymas,1,1,Berenjena,2.41,2.41,0.0,24.1,10.0,3000.0,72300.0
2007,147,29,Guaymas,1,1,Calabacita,78.5,78.5,0.0,1805.5,23.0,2000.0,3611000.0
2007,147,29,Guaymas,1,1,Calabaza,66.0,66.0,0.0,1320.0,20.0,1800.0,2376000.0
2007,147,29,Guaymas,1,1,Cártamo,112.5,110.5,2.0,165.75,1.5,3000.0,497250.0
2007,147,29,Guaymas,1,1,Cebolla,52.0,45.0,7.0,1170.0,26.0,2500.0,2925000.0
2007,147,29,Guaymas,1,1,Chile verde,58.5,58.5,0.0,640.0,10.94,2000.0,1280000.0
2007,147,29,Guaymas,1,1,Col de bruselas,3.0,3.0,0.0,24.0,8.0,4500.0,108000.0
2007,147,29,Guaymas,1,1,Ejote,20.0,20.0,0.0,28.3,1.42,4300.0,121690.0
2007,147,29,Guaymas,1,1,Frijol,243.0,238.0,5.0,238.0,1.0,7000.0,1666000.0
2007,147,29,Guaymas,1,1,Maíz grano,299.6,299.6,0.0,1498.0,5.0,2800.0,4194400.0
2007,147,29,Guaymas,1,1,Melón,188.5,188.5,0.0,4712.5,25.0,2500.0,11781250.0
