,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
28462,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,80.0,80.0,0.0,280.0,3.5,2360.0,660800.0
28463,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,10.0,10.0,0.0,150.0,15.0,600.0,90000.0
28464,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,1367.0,1367.0,0.0,6835.0,5.0,1699.41,11615500.0
28465,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,80.0,80.0,0.0,1120.0,14.0,750.0,840000.0
28466,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,293.0,293.0,0.0,1028.4,3.51,3841.0,3950084.4
28467,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,690.0,690.0,0.0,24150.0,35.0,5000.0,120750000.0
28468,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,50.0,50.0,0.0,1000.0,20.0,2000.0,2000000.0
28469,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,79.0,79.0,0.0,1264.0,16.0,1050.0,1327200.0
28470,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,50.0,50.0,0.0,225.0,4.5,3675.0,826875.0
28471,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,167.0,167.0,0.0,2471.6,14.8,1000.0,2471600.0
28472,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,30.0,30.0,0.0,180.0,6.0,8500.0,1530000.0
28473,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,20.0,20.0,0.0,120.0,6.0,8000.0,960000.0
28474,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,50.0,50.0,0.0,200.0,4.0,24808.0,4961600.0
28475,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,10.0,10.0,0.0,80.0,8.0,450.0,36000.0
28476,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,40.0,40.0,0.0,36.0,0.9,18500.0,666000.0
28477,2005,26,Sonora,139,Caborca,3,Atil,4,Altar,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,60.0,60.0,0.0,780.0,13.0,1700.0,1326000.0
28478,2005,26,Sonora,139,Caborca,3,Atil,7,Atil,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,10.0,10.0,0.0,104.0,10.4,700.0,72800.0
28479,2005,26,Sonora,139,Caborca,3,Atil,7,Atil,1,Otoño-Invierno,1,Riego,200201,Tonelada,9040000,Trigo forrajero verde,12.0,12.0,0.0,30.0,2.5,1125.0,33750.0
28480,2005,26,Sonora,139,Caborca,3,Atil,7,Atil,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,38.0,38.0,0.0,190.0,5.0,1700.0,323000.0
28481,2005,26,Sonora,139,Caborca,3,Atil,7,Atil,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,32.0,32.0,0.0,448.0,14.0,750.0,336000.0
28482,2005,26,Sonora,139,Caborca,3,Atil,7,Atil,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,10.0,10.0,0.0,148.0,14.8,1000.0,148000.0
28483,2005,26,Sonora,139,Caborca,3,Atil,46,Oquitoa,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,15.0,15.0,0.0,156.0,10.4,700.0,109200.0
28484,2005,26,Sonora,139,Caborca,3,Atil,46,Oquitoa,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,15.0,15.0,0.0,210.0,14.0,750.0,157500.0
28485,2005,26,Sonora,139,Caborca,3,Atil,60,Sáric,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,30.0,30.0,0.0,312.0,10.4,700.0,218400.0
28486,2005,26,Sonora,139,Caborca,3,Atil,60,Sáric,1,Otoño-Invierno,1,Riego,200201,Tonelada,9040000,Trigo forrajero verde,10.0,10.0,0.0,25.0,2.5,1125.0,28125.0
28487,2005,26,Sonora,139,Caborca,3,Atil,60,Sáric,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,23.0,23.0,0.0,115.0,5.0,1700.0,195500.0
28488,2005,26,Sonora,139,Caborca,3,Atil,60,Sáric,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,31.0,31.0,0.0,434.0,14.0,750.0,325500.0
28489,2005,26,Sonora,139,Caborca,3,Atil,60,Sáric,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,20.0,20.0,0.0,340.0,17.0,1050.0,357000.0
28490,2005,26,Sonora,139,Caborca,3,Atil,60,Sáric,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,37.0,37.0,0.0,547.6,14.8,1000.0,547600.0
28491,2005,26,Sonora,139,Caborca,3,Atil,65,Tubutama,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,106.0,106.0,0.0,1102.0,10.4,700.0,771400.0
28492,2005,26,Sonora,139,Caborca,3,Atil,65,Tubutama,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,6.0,6.0,0.0,90.0,15.0,600.0,54000.0
28493,2005,26,Sonora,139,Caborca,3,Atil,65,Tubutama,1,Otoño-Invierno,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,8.0,8.0,0.0,128.0,16.0,1025.0,131200.0
28494,2005,26,Sonora,139,Caborca,3,Atil,65,Tubutama,1,Otoño-Invierno,1,Riego,200201,Tonelada,9040000,Trigo forrajero verde,51.0,51.0,0.0,128.0,2.51,1125.0,144000.0
28495,2005,26,Sonora,139,Caborca,3,Atil,65,Tubutama,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,57.0,57.0,0.0,798.0,14.0,750.0,598500.0
28496,2005,26,Sonora,139,Caborca,3,Atil,65,Tubutama,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,12.0,12.0,0.0,24.0,2.0,4000.0,96000.0
