Anio,Idestado,Nomestado,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1986,5,Coahuila,1,Riego,Tonelada,Col (repollo),21.0,14.0,312.0,14.86,24.15,7534.0
1986,5,Coahuila,1,Riego,Tonelada,Coliflor,9.0,0.0,242.0,26.89,60.66,14680.0
1986,5,Coahuila,1,Riego,Tonelada,Hortalizas,15.0,0.0,366.0,24.4,63.66,23300.0
1986,5,Coahuila,1,Riego,Tonelada,Lechuga,25.0,3.0,619.0,24.76,96.04,59450.0
1986,5,Coahuila,1,Riego,Tonelada,Lenteja,10.0,0.0,5.0,0.5,173.0,865.0
1986,5,Coahuila,1,Riego,Tonelada,Rábano,2.0,0.0,25.0,12.5,30.24,756.0
1986,5,Coahuila,1,Riego,Tonelada,Trigo forrajero verde,266.0,0.0,3782.0,14.22,4.33,16362.0
1986,5,Coahuila,1,Riego,Tonelada,Trigo grano,11900.0,276.0,30328.0,2.55,59.35,1799853.0
1986,5,Coahuila,1,Riego,Tonelada,Triticale forrajero en verde,2.0,0.0,50.0,25.0,4.02,201.0
1986,5,Coahuila,1,Riego,Tonelada,Triticale grano,333.0,0.0,535.0,1.61,58.26,31167.0
1986,5,Coahuila,1,Riego,Tonelada,Zanahoria,37.0,30.0,862.0,23.3,45.15,38920.0
1986,5,Coahuila,1,Temporal,Tonelada,Alpiste,0.0,65.0,0.0,0.0,0.0,0.0
1986,5,Coahuila,1,Temporal,Tonelada,Avena forrajera en verde,1931.0,296.0,24223.0,12.54,6.94,168108.0
1986,5,Coahuila,1,Temporal,Tonelada,Cebada forrajera en verde,109.0,64.0,516.0,4.73,7.08,3654.0
1986,5,Coahuila,1,Temporal,Tonelada,Cebada grano,109.0,112.0,30.0,0.28,62.53,1876.0
1986,5,Coahuila,1,Temporal,Tonelada,Trigo forrajero verde,194.0,0.0,640.0,3.3,5.07,3247.0
1986,5,Coahuila,1,Temporal,Tonelada,Trigo grano,1005.0,1790.0,135.0,0.13,59.75,8066.0
1986,5,Coahuila,2,Riego,Tonelada,Algodón hueso,42098.0,278.0,66845.0,1.59,292.35,19542367.0
1986,5,Coahuila,2,Riego,Tonelada,Avena forrajera en verde,71.0,44.0,1761.0,24.8,10.0,17610.0
1986,5,Coahuila,2,Riego,Tonelada,Brócoli,560.0,20.0,8634.0,15.42,200.0,1726800.0
1986,5,Coahuila,2,Riego,Tonelada,Calabacita,28.0,27.0,225.0,8.04,139.33,31350.0
1986,5,Coahuila,2,Riego,Tonelada,Calabaza,20.0,3.0,152.0,7.6,71.58,10880.0
1986,5,Coahuila,2,Riego,Tonelada,Cebada grano,335.0,0.0,1081.0,3.23,95.0,102695.0
1986,5,Coahuila,2,Riego,Tonelada,Cebolla,32.0,2.0,1172.0,36.63,79.81,93540.0
1986,5,Coahuila,2,Riego,Tonelada,Chile verde,676.0,51.0,6894.0,10.2,154.1,1062373.0
1986,5,Coahuila,2,Riego,Tonelada,Cilantro,54.0,8.0,516.0,9.56,70.0,36120.0
1986,5,Coahuila,2,Riego,Tonelada,Col (repollo),9.0,13.0,89.0,9.89,37.71,3356.0
1986,5,Coahuila,2,Riego,Tonelada,Elote,185.0,0.0,2844.0,15.37,26.5,75366.0
1986,5,Coahuila,2,Riego,Tonelada,Espinaca,12.0,0.0,336.0,28.0,85.0,28560.0
1986,5,Coahuila,2,Riego,Tonelada,Frijol,4015.0,478.0,3222.0,0.8,292.83,943494.0
1986,5,Coahuila,2,Riego,Tonelada,Hortalizas,0.0,3.0,0.0,0.0,0.0,0.0
1986,5,Coahuila,2,Riego,Tonelada,Lechuga,14.0,6.0,420.0,30.0,60.0,25200.0
1986,5,Coahuila,2,Riego,Tonelada,Maíz forrajero en verde,2559.0,0.0,95910.0,37.48,5.25,503457.0
1986,5,Coahuila,2,Riego,Tonelada,Maíz grano,17532.0,1064.0,27467.0,1.57,96.81,2659154.0
1986,5,Coahuila,2,Riego,Tonelada,Melón,2126.0,178.0,27166.0,12.78,46.58,1265365.0
1986,5,Coahuila,2,Riego,Tonelada,Papa,942.0,96.0,33557.0,35.62,190.0,6375870.0
1986,5,Coahuila,2,Riego,Tonelada,Pepino,12.0,15.0,277.0,23.08,112.02,31030.0
1986,5,Coahuila,2,Riego,Tonelada,Sandía,1100.0,181.0,22756.0,20.69,31.99,727877.0
1986,5,Coahuila,2,Riego,Tonelada,Sorgo escobero,5450.0,38.0,22987.0,4.22,69.18,1590172.0
1986,5,Coahuila,2,Riego,Tonelada,Sorgo forrajero en verde,7820.0,1093.0,350921.0,44.87,4.98,1748306.0
1986,5,Coahuila,2,Riego,Tonelada,Sorgo grano,12932.0,1768.0,32624.0,2.52,117.39,3829753.0
1986,5,Coahuila,2,Riego,Tonelada,Tomate rojo (jitomate),425.0,34.0,4321.0,10.17,106.68,460976.0
1986,5,Coahuila,2,Riego,Tonelada,Zanahoria,172.0,5.0,3280.0,19.07,60.0,196800.0
1986,5,Coahuila,2,Temporal,Tonelada,Avena forrajera en verde,32.0,0.0,96.0,3.0,10.0,960.0
1986,5,Coahuila,2,Temporal,Tonelada,Cebada grano,2404.0,2.0,1216.0,0.51,95.0,115520.0
1986,5,Coahuila,2,Temporal,Tonelada,Frijol,2008.0,6685.0,1202.0,0.6,294.64,354159.0
1986,5,Coahuila,2,Temporal,Tonelada,Maíz forrajero en verde,220.0,30.0,2458.0,11.17,7.83,19242.0
1986,5,Coahuila,2,Temporal,Tonelada,Maíz grano,14435.0,23286.0,6951.0,0.48,97.86,680228.0
1986,5,Coahuila,2,Temporal,Tonelada,Papa,2.0,0.0,11.0,5.5,190.0,2090.0
1986,5,Coahuila,2,Temporal,Tonelada,Sorgo escobero,683.0,126.0,1495.0,2.19,42.92,64161.0
1986,5,Coahuila,2,Temporal,Tonelada,Sorgo forrajero en verde,963.0,895.0,12762.0,13.25,6.12,78110.0
1986,5,Coahuila,2,Temporal,Tonelada,Sorgo grano,1637.0,277.0,2022.0,1.24,98.71,199582.0
1986,5,Coahuila,3,Riego,Tonelada,Aguacate,41.0,0.0,90.0,2.2,203.78,18340.0
1986,5,Coahuila,3,Riego,Tonelada,Alfalfa verde,14128.0,0.0,1004001.0,71.06,8.09,8118181.0
1986,5,Coahuila,3,Riego,Tonelada,Chabacano,4.0,0.0,16.0,4.0,72.88,1166.0
1986,5,Coahuila,3,Riego,Tonelada,Ciruela,19.0,0.0,92.0,4.84,72.02,6626.0
